,logpop,loginv,pop,family.name,area,inv,language
1,18.16234089,3.713572067,77233270,Koreanic,Eurasia,40,Korean
2,5.351858133,3.496507561,210,Yeniseian,Eurasia,32,Ket
3,11.9498957,4.248495242,154800,Nakh-Daghestanian,Eurasia,69,Lak
4,14.30317052,4.043051268,1628500,Abkhaz-Adyge,Eurasia,56,Kabardian
5,15.11556624,3.583518938,3669500,Kartvelian,Eurasia,35,Georgian
6,11.4804126,3.988984047,96800,,Eurasia,53,Burushaski
8,18.12287158,4.234106505,74244300,Dravidian,Eurasia,68,Telugu
9,6.836259277,3.555348061,930,NA,NA,34,Kota
10,10.57134257,3.555348061,39000,NA,NA,34,Kota
11,13.9290901,3.63758616,1120280,Austroasiatic,Eurasia,37,Mundari
12,12.38939787,3.737669618,240240,Austroasiatic,Eurasia,41,Kharia
13,13.64472342,3.36729583,843000,Austroasiatic,Eurasia,28,Khasi
14,11.48782302,3.988984047,97520,Austroasiatic,Eurasia,53,Sedang
16,18.03587997,3.688879454,68058620,Austroasiatic,Eurasia,39,Vietnamese
21,14.7401666,3.912023005,2521000,Atlantic-Congo,Africa,49,Yao
23,17.30824133,3.931825633,32875600,Sino-Tibetan,Eurasia,50,Burmese
24,13.18129433,3.713572067,530350,Sino-Tibetan,Eurasia,40,Lahu
25,13.82447129,3.295836866,1009000,Sino-Tibetan,Eurasia,26,Garo
27,9.105090961,4.094344562,9000,Tai-Kadai,Eurasia,59,Lakkia
28,16.83830099,3.828641396,20548550,Tai-Kadai,Eurasia,45,Thai
31,11.34214901,3.33220451,84300,Austronesian,Papunesia,27,Atayal
32,16.71354075,3.610917913,18138380,NA,NA,36,Malagasy
33,16.59573884,3.33220451,16122700,NA,NA,27,Malay
34,17.9235012,3.33220451,60824376,NA,NA,27,Malay
35,7.300472814,3.091042453,1480,NA,NA,21,Batak
38,18.25070468,3.433987204,84368500,Austronesian,Papunesia,30,Javanese
39,17.01940638,3.36729583,24628290,Austronesian,Papunesia,28,Tagalog
40,11.04293784,3.610917913,62500,Austronesian,Papunesia,36,Chamorro
43,10.30898599,3.258096538,30000,Austronesian,Papunesia,25,Adzera
44,11.97023005,3.044522438,157980,Austronesian,Papunesia,20,Maori
45,7.601402335,2.995732274,2000,Austronesian,Papunesia,19,Hawaiian
48,1.098612289,3.36729583,2,Pama-Nyungan,Australia,28,Kunjen
50,5.564520407,3.218875825,260,NA,NA,24,Maung
51,4.709530201,3.218875825,110,NA,NA,24,Nunggubuyu
52,2.564949357,3.36729583,12,Mangarrayi-Maran,Australia,28,Alawa
54,10.30898599,2.890371758,30000,Sentanic,Papunesia,17,Sentani
57,8.594339401,3.33220451,5400,Nuclear Trans New Guinea,Papunesia,27,Telefol
58,10.00337814,2.995732274,22100,Nuclear Trans New Guinea,Papunesia,19,Gadsup
