"duration","f0slope","f0peak","intensity","f1","stress","f0mean"
0.177,"-295.59748427673","142","75","771","n",111
0.151,"48.5436893203883","110","76","462","y",107
0.067,"-200","98","69","192","n",91
0.22,"-75.7575757575758","108","72","781","n",99
0.127,"69.5652173913044","108","74","449","y",104
0.07,"-174.603174603175","104","70","272","n",100
0.09,"-86.4197530864198","114","77","445","n",108
0.059,"156.25","118","75","317","y",116
0.077,"-271.428571428571","123","74","629","n",113
0.078,"-92.3076923076922","95","66","316","n",91
0.243,"-106.666666666667","105","68","246","n",100
0.138,"-64.5161290322581","122","80","503","n",117
0.054,"257.142857142857","129","78","308","y",126
0.07,"-508.474576271187","122","74","593","n",106
0.213,"-117.647058823529","107","71","310","y",101
0.113,"-82.4742268041236","102","67","433","n",98
0.111,"-137.5","98","66","1138","n",94
0.08,"272.727272727272","108","68","921","y",106
0.073,"-37.0370370370372","92","57","1473","n",91
0.12,"-89.1089108910891","99","68","871","n",94
0.158,"71.9424460431656","106","67","388","y",102
0.117,"-87.719298245614","116","76","387","y",113
0.1,"-147.540983606557","110","71","443","n",104
0.05,"-166.666666666667","104","66","702","n",101
0.063,"-224.489795918367","102","72","430","n",95
0.061,"-72.7272727272728","99","69","615","y",97
0.062,"-62.4999999999999","96","59","645","n",95
0.21,"25.4777070063694","111","71","185","y",109
0.136,"-136.363636363636","113","69","188","n",108
0.1,"-103.448275862069","103","68","1307","n",97
0.223,"0","97","64","1060","y",97
0.051,"50","96","54","897","n",95
0.102,"-293.478260869565","119","74","721","n",102
0.128,"-20.4081632653061","98","72","925","y",98
0.083,"-53.3333333333334","91","62","1043","n",90
0.188,"-107.142857142857","126","80","364","y",122
0.156,"123.456790123457","127","77","631","n",119
0.168,"37.0370370370371","108","74","454","y",107
0.138,"-16.1290322580645","101","73","349","n",100
0.097,"-340.909090909091","108","72","394","y",94
0.111,"-240","127","74","302","n",116
0.125,"107.142857142857","116","75","468","y",109
0.091,"-352.941176470589","105","71","343","n",102
0.075,"-588.235294117648","126","71","236","y",111
0.209,"-101.063829787234","122","75","362","n",108
0.166,"-219.178082191781","125","76","339","y",112
0.12,"-493.670886075948","122","71","948","n",98
0.218,"-131.147540983607","145","78","297","n",141
0.147,"-106.55737704918","152","77","297","y",146
0.055,"-612.244897959185","124","71","751","n",110
0.18,"-67.4846625766872","128","77","359","y",119
0.135,"-32.7868852459017","111","72","408","n",109
0.151,"46.7289719626167","104","68","558","y",101
0.069,"-475","115","62","314","n",106
0.13,"-203.703703703704","126","79","415","n",122
0.078,"-352.112676056338","118","72","256","y",106
0.062,"-500","122","67","416","n",117
0.112,"-100","142","80","360","y",137
0.263,"25.5102040816327","127","75","397","n",125
